Year,# of Tornados,Direct Injury,Indirect Injury,Direct Fatality,Indirect Fatality,Property Damage,Crop Damage
All,"1,176","3,375",1,244,0,"$1,115,741,550 ","$1,512,500 "
2020,3,0,0,0,0,"$320,000 ",
2019,8,0,0,0,0,"$10,045,000 ",
2018,16,0,0,0,0,"$2,410,000 ",
2017,10,0,0,0,0,"$310,000 ",
2016,16,0,0,0,0,"$5,685,000 ",
2015,16,7,0,0,0,"$5,341,000 ",
2014,14,6,0,0,0,"$6,179,000 ",
2013,14,0,0,0,0,"$991,000 ",
2012,6,0,0,0,0,"$12,695,000 ",
2011,18,0,0,0,0,"$1,851,000 ",$500 
2010,27,15,1,1,0,"$65,981,000 ","$10,000 "
2009,3,0,0,0,0,"$340,000 ",
2008,16,0,0,1,0,"$650,000 ",
2007,27,9,0,3,0,"$85,719,000 ","$26,000 "
2006,10,0,0,0,0,"$660,000 ","$81,000 "
2005,5,0,0,0,0,"$175,000 ","$60,000 "
2004,24,0,0,0,0,"$763,000 ","$85,000 "
2003,14,2,0,0,0,"$1,998,000 ","$400,000 "
2002,13,1,0,0,0,"$7,792,000 ","$225,000 "
2001,42,8,0,0,0,"$28,067,200 ","$490,000 "
2000,6,0,0,0,0,"$70,000 ","$135,000 "
1999,13,2,0,0,0,"$2,110,000 ",
1998,24,12,0,0,0,"$4,302,000 ",
1997,19,98,0,2,0,"$127,853,000 ",
1996,13,0,0,0,0,"$5,574,500 ",
1995,11,3,0,0,0,"$1,015,500 ",
1994,11,2,0,0,0,"$6,115,000 ",
1993,4,3,0,0,0,"$150,000 ",
1992,21,31,0,0,0,"$5,652,500 ",
1991,34,19,0,0,0,"$41,820,500 ",
1990,23,1,0,0,0,"$7,967,500 ",
1989,19,2,0,0,0,"$1,635,750 ",
1988,30,8,0,1,0,"$5,932,780 ",
1987,28,17,0,1,0,"$2,974,030 ",
1986,30,17,0,0,0,"$14,367,750 ",
1985,12,6,0,1,0,"$765,000 ",
1984,25,12,0,0,0,"$16,628,560 ",
1983,21,4,0,1,0,"$50,978,780 ",
1982,23,7,0,1,0,"$9,590,530 ",
1981,5,0,0,0,0,"$282,500 ",
1980,19,97,0,5,0,"$52,910,500 ",
1979,22,7,0,0,0,"$1,057,530 ",
1978,19,12,0,0,0,"$1,428,310 ",
1977,35,69,0,1,0,"$7,010,530 ",
1976,42,93,0,3,0,"$32,050,060 ",
1975,26,18,0,1,0,"$995,250 ",
1974,43,51,0,3,0,"$5,148,750 ",
1973,35,10,0,0,0,"$1,171,120 ",
1972,17,9,0,0,0,"$5,608,000 ",
1971,9,5,0,0,0,"$1,052,500 ",
1970,3,0,0,0,0,"$50,000 ",
1969,9,65,0,0,0,"$5,602,500 ",
1968,21,14,0,1,0,"$5,982,500 ",
1967,19,56,0,0,0,"$28,907,750 ",
1966,11,0,0,0,0,"$133,000 ",
1965,28,800,0,53,0,"$310,175,000 ",
1964,14,233,0,11,0,"$3,950,000 ",
1963,5,1,0,1,0,"$575,000 ",
1962,5,0,0,0,0,"$55,250 ",
1961,5,1,0,0,0,"$325,000 ",
1960,6,0,0,0,0,"$82,500 ",
1959,2,0,0,0,0,$250 ,
1958,7,0,0,0,0,"$30,340 ",
1957,13,18,0,1,0,"$907,530 ",
1956,34,534,0,24,0,"$20,935,250 ",
1955,13,2,0,0,0,"$570,250 ",
1954,12,2,0,0,0,"$385,500 ",
1953,20,982,0,127,0,"$84,055,500 ",
1951,8,4,0,1,0,"$827,500 ",
